"phase","Taxon","order","over","Plant.Symbol","Plant.Type","Nativity","Cover.Low","Cover.High","Canopy.Bottom","Canopy.Top","Diam.Low","Diam.High","BA.Low","BA.High"
"02silver maple green ash swamp","Betula alleghaniensis",1,0.014285571429995,"BEAL2","Tree","Native",0,0,10,25,,,,
"02silver maple green ash swamp","Zanthoxylum americanum",3,0.749992500075003,"ZAAM","Shrub/Subshrub","Native",0,1,2,10,,,,
"02silver maple green ash swamp","Parthenocissus quinquefolia",4,0.014285571429995,"PAQU2","Vine/Liana","Native",0,0,2,15,,,,
"02silver maple green ash swamp","Vitis riparia",4,0.014285571429995,"VIRI","Vine/Liana","Native",0,0,2,15,,,,
"04tamarack","Acer rubrum",1,19.662862729668,"ACRU","Tree","Native",0,3,10,25,,,2,2
"04tamarack","Acer rubrum",1,19.662862729668,"ACRU","Tree","Native",1,35,5,15,,,,
"04tamarack","Larix laricina",1,5.58385209739967,"LALA","Tree","Native",0.1,3,10,20,,,2,5
"04tamarack","Larix laricina",1,5.58385209739967,"LALA","Tree","Native",0.5,15,5,15,,,,
"04tamarack","Pinus strobus",1,4.15361957163766,"PIST","Tree","Native",0,10,10,25,,,,
"04tamarack","Pinus strobus",1,4.15361957163766,"PIST","Tree","Native",0,0.5,5,15,,,,
"04tamarack","Fraxinus nigra",1,2.89415814432548,"FRNI","Tree","Native",0,3,10,20,,,,
"04tamarack","Fraxinus nigra",1,2.89415814432548,"FRNI","Tree","Native",0,5,5,15,,,,
"04tamarack","Betula alleghaniensis",1,2.65962633498512,"BEAL2","Tree","Native",0,3,10,25,,,1,2
"04tamarack","Betula alleghaniensis",1,2.65962633498512,"BEAL2","Tree","Native",0.5,4,5,15,,,,
"04tamarack","Ulmus americana",1,1.91664750019166,"ULAM","Tree","Native",0,5,5,15,,,,
"04tamarack","Quercus bicolor",1,1.24651534734618,"QUBI","Tree","Native",0,3,10,25,,,,
"04tamarack","Quercus bicolor",1,1.24651534734618,"QUBI","Tree","Native",0,1.5,5,15,,,,
"04tamarack","Populus tremuloides",1,0.666660000066666,"POTR5","Tree","Native",0,1,5,10,,,,
"04tamarack","Ulmus rubra",1,0.499995000050002,"ULRU","Tree","Native",0,0.5,10,25,,,,
"04tamarack","Fraxinus pennsylvanica",1,0.457912091712376,"FRPE","Tree","Native",0,1,10,25,,,,
"04tamarack","Fraxinus pennsylvanica",1,0.457912091712376,"FRPE","Tree","Native",0,0.4,5,15,,,,
"04tamarack","Quercus rubra",1,0.252497475025248,"QURU","Tree","Native",0,1,5,15,,,,
"04tamarack","Carpinus caroliniana",1,0.208331250020832,"CACA18","Tree","Native",0,0.5,5,15,,,,
"04tamarack","Tilia americana",1,0.166665000016664,"TIAM","Tree","Native",0,0.2,10,25,,,,
"04tamarack","Fagus grandifolia",1,0.0833325000083374,"FAGR","Tree","Native",0,0.1,5,15,,,,
"04tamarack","Acer saccharinum",1,0.0333330000033327,"ACSA2","Tree","Native",0,0.1,10,25,,,,
"04tamarack","Populus deltoides",1,0.0333330000033327,"PODE3","Tree","Native",0,0.1,10,25,,,,
"04tamarack","Vitis riparia",4,0.0416662500041687,"VIRI","Vine/Liana","Native",0,0.1,2,15,,,,
"04tamarack","Parthenocissus quinquefolia",4,0.0337496625033795,"PAQU2","Vine/Liana","Native",0,0.1,2,15,,,,
"05red maple dogwood lake sedge swamp","Acer saccharinum",1,5.22972340500893,"ACSA2","Tree","Native",0,4,2,20,25,35,0,3
"05red maple dogwood lake sedge swamp","Acer saccharinum",1,5.22972340500893,"ACSA2","Tree","Native",0,4,5,15,,,,
"05red maple dogwood lake sedge swamp","Populus tremuloides",1,4.9999500005,"POTR5","Tree","Native",0,10,5,15,,,,
"05red maple dogwood lake sedge swamp","Acer rubrum",1,2.44997550024499,"ACRU","Tree","Native",0,4,5,15,,,,
"05red maple dogwood lake sedge swamp","Fraxinus nigra",1,0.874991250087498,"FRNI","Tree","Native",0,1.5,5,15,,,,
"05red maple dogwood lake sedge swamp","Quercus bicolor",1,0.1749982500175,"QUBI","Tree","Native",0,0.4,10,25,,,,
"05red maple dogwood lake sedge swamp","Betula alleghaniensis",1,0.0499995000050046,"BEAL2","Tree","Native",0,0.1,10,25,,,,
"05red maple dogwood lake sedge swamp","Viburnum lentago",1,0.0249997500024968,"VILE","Tree","Native",0,0,5,15,,,,
"05red maple dogwood lake sedge swamp","Toxicodendron vernix",3,0.1749982500175,"TOVE","Shrub/Subshrub","Native",0,0.3,2,10,,,,
"07marsh","Larix laricina",1,2.54997450025499,"LALA","Tree","Native",0.4,5,10,20,,,,
"07marsh","Liriodendron tulipifera",1,0.0249997500024968,"LITU","Tree","Native",0,0,10,25,,,,
"07marsh","Tilia americana",1,0.0249997500024968,"TIAM","Tree","Native",0,0,10,25,,,,
"08wet meadow","Populus deltoides",1,1.24998750012499,"PODE3","Tree","Native",0,2,10,25,,,,
"08wet meadow","Populus tremuloides",1,1.24998750012499,"POTR5","Tree","Native",0,2,10,25,,,,
"08wet meadow","Acer saccharinum",1,0.249997500025001,"ACSA2","Tree","Native",0,0.4,10,25,,,,
"08wet meadow","Fraxinus nigra",1,0.0499995000050046,"FRNI","Tree","Native",0,0.1,10,20,,,,
"08wet meadow","Salix",3,0.499995000050002,"SALIX","Shrub/Subshrub","Unknown",0.1,1.5,5,20,,,,
"09reed canary grass","Fraxinus pennsylvanica",1,0.318746812531878,"FRPE","Tree","Native",0,0.5,5,15,,,,
